,timestamp,market,historical_volume,projected_growth,external_factors,idle_resources_eu,idle_resources_asia,allocated_resources_eu,allocated_resources_asia,predicted_volume_increase
0,2023-01-01 00:00:00,Asia,5430,0.4782633362444766,1.0465178850923138,96,89,24.0,22.25,2717.7754639392374
1,2023-01-01 01:00:00,US,7971,0.38832386670182967,0.8620639115753399,57,14,5.7,1.4000000000000001,3095.329541480284
2,2023-01-01 02:00:00,Asia,8335,0.4227619535709778,1.0306693271036804,91,24,22.75,6.0,3631.791031397329
3,2023-01-01 03:00:00,Asia,3712,0.3826972248811303,1.1305076956698505,73,30,18.25,7.5,1605.9676899006442
4,2023-01-01 04:00:00,US,2718,0.09242343529243538,0.8170098534076371,25,67,2.5,6.7,251.20689712483937
5,2023-01-01 05:00:00,US,4778,0.41845131372641103,0.9678987899672824,89,13,8.9,1.3,1999.3603769847919
6,2023-01-01 06:00:00,Asia,3263,0.10560332181186291,0.9844195868875342,32,78,8.0,19.5,339.21488362356837
7,2023-01-01 07:00:00,EU,9580,0.44737955074163205,1.1164288573912449,95,16,9.5,1.6,4285.896096104835
8,2023-01-01 08:00:00,Asia,3042,0.2347384500597272,0.9871662527782177,48,44,12.0,11.0,704.910115182677
9,2023-01-01 09:00:00,Asia,8511,0.34171860863240394,1.0270143145825281,42,45,10.5,11.25,2986.934621238852
10,2023-01-01 10:00:00,Asia,2025,0.2536480154615153,1.1164817014352284,33,24,8.25,6.0,573.4665699329869
11,2023-01-01 11:00:00,Asia,3072,0.056055555414135,1.0239033971717162,70,11,17.5,2.75,176.31889495720003
12,2023-01-01 12:00:00,US,1090,0.1524539307341259,0.9433197654078329,64,66,6.4,6.6000000000000005,166.1747845001972
13,2023-01-01 13:00:00,Asia,1912,0.49202860845853297,0.8343369110482329,70,14,17.5,3.5,784.9097072763842
14,2023-01-01 14:00:00,EU,9095,0.4807502283182105,1.091966251805031,93,80,9.3,8.0,4372.423326554124
15,2023-01-01 15:00:00,US,589,0.16703857985121817,1.148455260064862,49,95,4.9,9.5,98.3857235323675
16,2023-01-01 16:00:00,EU,5976,0.49818543408016064,1.1880258148080656,67,41,6.7,4.1000000000000005,2977.15615406304
17,2023-01-01 17:00:00,EU,9785,0.4243200857934808,1.1706399523086273,81,81,8.1,8.1,4151.972039489209
18,2023-01-01 18:00:00,EU,3745,0.3093701547218048,1.1189671635332994,83,50,8.3,5.0,1158.591229433159
19,2023-01-01 19:00:00,EU,7181,0.02966106392789465,1.0573887728982911,10,51,1.0,5.1000000000000005,212.99610006621148
